Model,Benchmark,Question Type,Test Instances,Total Input Tokens,Total Output Tokens,Total Judge Input Tokens,Total Judge Output Tokens,Cost Input Tokens,Cost Output Tokens,Cost Jury Input Tokens,Cost Jury Output Tokens,Cost Input Output Tokens
gpt_4o_2024_05_13,BMT-Status,Closed,220,456270,220,0,0,1.14 ,0.00 ,0.00 ,0.00 ,1.14 
gpt_4o_2024_05_13,CDI-QA,Closed,1000,62669633,1000,0,0,156.67 ,0.01 ,0.00 ,0.00 ,156.68 
gpt_4o_2024_05_13,ClinicReferral,Closed,327,12950877,327,0,0,32.38 ,0.00 ,0.00 ,0.00 ,32.38 
gpt_4o_2024_05_13,ENT-Referral,Closed,1000,15197841,1000,0,0,37.99 ,0.01 ,0.00 ,0.00 ,38.00 
gpt_4o_2024_05_13,HospiceReferral,Closed,1000,22905633,1000,0,0,57.26 ,0.01 ,0.00 ,0.00 ,57.27 
gpt_4o_2024_05_13,MedConfInfo,Closed,1000,2044080,1000,0,0,5.11 ,0.01 ,0.00 ,0.00 ,5.12 
gpt_4o_2024_05_13,PrivacyDetection,Closed,300,76256,300,0,0,0.19 ,0.00 ,0.00 ,0.00 ,0.19 
gpt_4o_2024_05_13,ProxySender,Closed,300,53976,300,0,0,0.13 ,0.00 ,0.00 ,0.00 ,0.14 
gpt_4o_mini_2024_07_18,ACIBench,Open,120,188837,92160,"280,997",491520,0.03 ,0.06 ,1.74 ,12.64 ,14.47 
gpt_4o_mini_2024_07_18,CLEAR,Closed,1022,494365,1022,0,0,0.07 ,0.00 ,0.00 ,0.00 ,0.07 
gpt_4o_mini_2024_07_18,DischargeMe,Open,1000,3390381,300000,"3,690,381",4096000,0.51 ,0.18 ,22.92 ,105.31 ,128.91 
gpt_4o_mini_2024_07_18,EHR-SQL,Closed,1000,978287,1024000,0,0,0.15 ,0.61 ,0.00 ,0.00 ,0.76 
gpt_4o_mini_2024_07_18,EHRSHOT,Closed,3000,107030927,3000,0,0,16.05 ,0.00 ,0.00 ,0.00 ,16.06 
gpt_4o_mini_2024_07_18,HEADQA,Closed,1000,149213,1000,0,0,0.02 ,0.00 ,0.00 ,0.00 ,0.02 
gpt_4o_mini_2024_07_18,MedAlign,Open,149,8267553,38144,"8,305,697",610304,1.24 ,0.02 ,51.58 ,15.69 ,68.53 
gpt_4o_mini_2024_07_18,MedBullets,Closed,308,102337,308,0,0,0.02 ,0.00 ,0.00 ,0.00 ,0.02 
gpt_4o_mini_2024_07_18,MedCalcBench,Closed,1000,570684,10000,0,0,0.09 ,0.01 ,0.00 ,0.00 ,0.09 
gpt_4o_mini_2024_07_18,MedDialog,Open,2000,517990,160000,"677,990",8192000,0.08 ,0.10 ,4.21 ,210.62 ,215.00 
gpt_4o_mini_2024_07_18,Medec,Closed,597,184030,152832,0,0,0.03 ,0.09 ,0.00 ,0.00 ,0.12 
gpt_4o_mini_2024_07_18,MedHallu,Closed,1000,689974,5000,0,0,0.10 ,0.00 ,0.00 ,0.00 ,0.11 
gpt_4o_mini_2024_07_18,MedicationQA,Open,689,15403,352768,"368,171",2822144,0.00 ,0.21 ,2.29 ,72.56 ,75.06 
gpt_4o_mini_2024_07_18,MediQA,Open,150,5644,153600,"159,244",614400,0.00 ,0.09 ,0.99 ,15.80 ,16.88 
gpt_4o_mini_2024_07_18,MentalHealth,Open,67,44877,34304,"79,181",274432,0.01 ,0.02 ,0.49 ,7.06 ,7.57 
gpt_4o_mini_2024_07_18,MIMICBHC,Open,100,62483,102400,"164,883",409600,0.01 ,0.06 ,1.02 ,10.53 ,11.63 
gpt_4o_mini_2024_07_18,MIMICIV-BillingCode,Closed,1000,2074453,256000,0,0,0.31 ,0.15 ,0.00 ,0.00 ,0.46 
gpt_4o_mini_2024_07_18,MIMICRRS,Open,1000,207052,128000,"335,052",4096000,0.03 ,0.08 ,2.08 ,105.31 ,107.50 
gpt_4o_mini_2024_07_18,MTSamples,Open,78,62748,39936,"102,684",319488,0.01 ,0.02 ,0.64 ,8.21 ,8.89 
gpt_4o_mini_2024_07_18,MTSamples-Procedures,Open,128,38131,65536,"103,667",524288,0.01 ,0.04 ,0.64 ,13.48 ,14.17 
gpt_4o_mini_2024_07_18,N2C2,Closed,258,1410186,258,0,0,0.21 ,0.00 ,0.00 ,0.00 ,0.21 
gpt_4o_mini_2024_07_18,NoteExtract,Open,487,344768,374016,"718,784",1994752,0.05 ,0.22 ,4.46 ,51.29 ,56.02 
gpt_4o_mini_2024_07_18,PatientInstruct,Open,361,926785,92416,"1,019,201",1478656,0.14 ,0.06 ,6.33 ,38.02 ,44.54 
gpt_4o_mini_2024_07_18,PubMedQA,Closed,1000,353822,1000,0,0,0.05 ,0.00 ,0.00 ,0.00 ,0.05 
gpt_4o_mini_2024_07_18,RaceBias,Closed,167,78303,167,0,0,0.01 ,0.00 ,0.00 ,0.00 ,0.01 
gpt_4o_mini_2024_07_18,ADHD-Behavior,Closed,423,118966,423,0,0,0.02 ,0.00 ,0.00 ,0.00 ,0.02 
gpt_4o_mini_2024_07_18,ADHD-MedEffects,Closed,915,674001,915,0,0,0.10 ,0.00 ,0.00 ,0.00 ,0.10 
gpt_4o_mini_2024_07_18,BMT-Status,Closed,220,456270,220,0,0,0.07 ,0.00 ,0.00 ,0.00 ,0.07 
gpt_4o_mini_2024_07_18,CDI-QA,Closed,1000,62669633,1000,0,0,9.40 ,0.00 ,0.00 ,0.00 ,9.40 
gpt_4o_mini_2024_07_18,ClinicReferral,Closed,327,12950877,327,0,0,1.94 ,0.00 ,0.00 ,0.00 ,1.94 
gpt_4o_mini_2024_07_18,ENT-Referral,Closed,1000,15197841,1000,0,0,2.28 ,0.00 ,0.00 ,0.00 ,2.28 
gpt_4o_mini_2024_07_18,HospiceReferral,Closed,1000,22905633,1000,0,0,3.44 ,0.00 ,0.00 ,0.00 ,3.44 
gpt_4o_mini_2024_07_18,MedConfInfo,Closed,1000,2044080,1000,0,0,0.31 ,0.00 ,0.00 ,0.00 ,0.31 
gpt_4o_mini_2024_07_18,PrivacyDetection,Closed,300,76256,300,0,0,0.01 ,0.00 ,0.00 ,0.00 ,0.01 
gpt_4o_mini_2024_07_18,ProxySender,Closed,300,53976,300,0,0,0.01 ,0.00 ,0.00 ,0.00 ,0.01 
llama_3.3_70b_instruct,ACIBench,Open,120,195550,92160,"287,710",491520,0.14 ,0.07 ,1.79 ,12.64 ,14.63 
llama_3.3_70b_instruct,CLEAR,Closed,1022,499872,1022,0,0,0.35 ,0.00 ,0.00 ,0.00 ,0.36 
llama_3.3_70b_instruct,DischargeMe,Open,1000,3471207,300000,"3,771,207",4096000,2.46 ,0.21 ,23.42 ,105.31 ,131.40 
llama_3.3_70b_instruct,EHR-SQL,Closed,1000,962504,1024000,0,0,0.68 ,0.73 ,0.00 ,0.00 ,1.41 
llama_3.3_70b_instruct,EHRSHOT,Closed,3000,98605315,3000,0,0,70.01 ,0.00 ,0.00 ,0.00 ,70.01 
llama_3.3_70b_instruct,HEADQA,Closed,1000,150567,1000,0,0,0.11 ,0.00 ,0.00 ,0.00 ,0.11 
llama_3.3_70b_instruct,MedAlign,Open,149,8333975,38144,"8,372,119",610304,5.92 ,0.03 ,51.99 ,15.69 ,73.63 
llama_3.3_70b_instruct,MedBullets,Closed,308,103919,308,0,0,0.07 ,0.00 ,0.00 ,0.00 ,0.07 
llama_3.3_70b_instruct,MedCalcBench,Closed,1000,584571,10000,0,0,0.42 ,0.01 ,0.00 ,0.00 ,0.42 
llama_3.3_70b_instruct,MedDialog,Open,2000,522190,160000,"682,190",8192000,0.37 ,0.11 ,4.24 ,210.62 ,215.34 
llama_3.3_70b_instruct,Medec,Closed,597,186014,152832,0,0,0.13 ,0.11 ,0.00 ,0.00 ,0.24 
llama_3.3_70b_instruct,MedHallu,Closed,1000,696638,5000,0,0,0.49 ,0.00 ,0.00 ,0.00 ,0.50 
llama_3.3_70b_instruct,MedicationQA,Open,689,15638,352768,"368,406",2822144,0.01 ,0.25 ,2.29 ,72.56 ,75.11 
llama_3.3_70b_instruct,MediQA,Open,150,5724,153600,"159,324",614400,0.00 ,0.11 ,0.99 ,15.80 ,16.90 
llama_3.3_70b_instruct,MentalHealth,Open,67,45923,34304,"80,227",274432,0.03 ,0.02 ,0.50 ,7.06 ,7.61 
llama_3.3_70b_instruct,MIMICBHC,Open,100,64316,102400,"166,716",409600,0.05 ,0.07 ,1.04 ,10.53 ,11.68 
llama_3.3_70b_instruct,MIMICIV-BillingCode,Closed,1000,2139478,256000,0,0,1.52 ,0.18 ,0.00 ,0.00 ,1.70 
llama_3.3_70b_instruct,MIMICRRS,Open,1000,210318,128000,"338,318",4096000,0.15 ,0.09 ,2.10 ,105.31 ,107.65 
llama_3.3_70b_instruct,MTSamples,Open,78,64174,39936,"104,110",319488,0.05 ,0.03 ,0.65 ,8.21 ,8.93 
llama_3.3_70b_instruct,MTSamples-Procedures,Open,128,38933,65536,"104,469",524288,0.03 ,0.05 ,0.65 ,13.48 ,14.20 
llama_3.3_70b_instruct,N2C2,Closed,258,1438826,258,0,0,1.02 ,0.00 ,0.00 ,0.00 ,1.02 
llama_3.3_70b_instruct,NoteExtract,Open,487,352397,374016,"726,413",1994752,0.25 ,0.27 ,4.51 ,51.29 ,56.31 
llama_3.3_70b_instruct,PatientInstruct,Open,361,944724,92416,"1,037,140",1478656,0.67 ,0.07 ,6.44 ,38.02 ,45.19 
llama_3.3_70b_instruct,PubMedQA,Closed,1000,358774,1000,0,0,0.25 ,0.00 ,0.00 ,0.00 ,0.26 
llama_3.3_70b_instruct,RaceBias,Closed,167,78977,167,0,0,0.06 ,0.00 ,0.00 ,0.00 ,0.06 
llama_3.3_70b_instruct,ADHD-Behavior,Closed,423,120137,423,0,0,0.09 ,0.00 ,0.00 ,0.00 ,0.09 
llama_3.3_70b_instruct,ADHD-MedEffects,Closed,915,683732,915,0,0,0.49 ,0.00 ,0.00 ,0.00 ,0.49 
llama_3.3_70b_instruct,BMT-Status,Closed,220,460464,220,0,0,0.33 ,0.00 ,0.00 ,0.00 ,0.33 
llama_3.3_70b_instruct,CDI-QA,Closed,1000,63950647,1000,0,0,45.40 ,0.00 ,0.00 ,0.00 ,45.41 
llama_3.3_70b_instruct,ClinicReferral,Closed,327,13195272,327,0,0,9.37 ,0.00 ,0.00 ,0.00 ,9.37 
llama_3.3_70b_instruct,ENT-Referral,Closed,1000,15445736,1000,0,0,10.97 ,0.00 ,0.00 ,0.00 ,10.97 
llama_3.3_70b_instruct,HospiceReferral,Closed,1000,23369678,1000,0,0,16.59 ,0.00 ,0.00 ,0.00 ,16.59 
llama_3.3_70b_instruct,MedConfInfo,Closed,1000,2072752,1000,0,0,1.47 ,0.00 ,0.00 ,0.00 ,1.47 
llama_3.3_70b_instruct,PrivacyDetection,Closed,300,77186,300,0,0,0.05 ,0.00 ,0.00 ,0.00 ,0.06 
llama_3.3_70b_instruct,ProxySender,Closed,300,55128,300,0,0,0.04 ,0.00 ,0.00 ,0.00 ,0.04 
o3_mini_2025_01_31,ACIBench,Open,120,195554,480000,"675,554",491520,0.23 ,2.32 ,4.20 ,12.64 ,19.39 
o3_mini_2025_01_31,CLEAR,Closed,1022,500025,4088000,0,0,0.60 ,19.79 ,0.00 ,0.00 ,20.39 
o3_mini_2025_01_31,DischargeMe,Open,1000,3474609,4000000,"7,474,609",4096000,4.17 ,19.36 ,46.42 ,105.31 ,175.26 
o3_mini_2025_01_31,EHR-SQL,Closed,1000,963516,4000000,0,0,1.16 ,19.36 ,0.00 ,0.00 ,20.52 
o3_mini_2025_01_31,EHRSHOT,Closed,3000,98605334,12000000,0,0,118.33 ,58.08 ,0.00 ,0.00 ,176.41 
o3_mini_2025_01_31,HEADQA,Closed,1000,150624,4000000,0,0,0.18 ,19.36 ,0.00 ,0.00 ,19.54 
o3_mini_2025_01_31,MIMICBHC,Open,100,64434,400000,"464,434",409600,0.08 ,1.94 ,2.88 ,10.53 ,15.43 
o3_mini_2025_01_31,MIMICIV-BillingCode,Closed,1000,2140805,4000000,0,0,2.57 ,19.36 ,0.00 ,0.00 ,21.93 
o3_mini_2025_01_31,MIMICRRS,Open,1000,210371,4000000,"4,210,371",4096000,0.25 ,19.36 ,26.15 ,105.31 ,151.07 
o3_mini_2025_01_31,MTSamples,Open,427,337045,1708000,"2,045,045",1748992,0.40 ,8.27 ,12.70 ,44.97 ,66.34 
o3_mini_2025_01_31,MTSamples-Procedures,Open,128,39020,512000,"551,020",524288,0.05 ,2.48 ,3.42 ,13.48 ,19.43 
o3_mini_2025_01_31,MedAlign,Open,149,8343028,596000,"8,939,028",610304,10.01 ,2.88 ,55.51 ,15.69 ,84.10 
o3_mini_2025_01_31,MedBullets,Closed,308,103946,1232000,0,0,0.12 ,5.96 ,0.00 ,0.00 ,6.09 
o3_mini_2025_01_31,MedCalcBench,Closed,1000,585063,4000000,0,0,0.70 ,19.36 ,0.00 ,0.00 ,20.06 
o3_mini_2025_01_31,MedDialog,Open,2000,522471,8000000,"8,522,471",8192000,0.63 ,38.72 ,52.92 ,210.62 ,302.89 
o3_mini_2025_01_31,MedHallu,Closed,1000,696754,4000000,0,0,0.84 ,19.36 ,0.00 ,0.00 ,20.20 
o3_mini_2025_01_31,Medec,Closed,597,186052,2388000,0,0,0.22 ,11.56 ,0.00 ,0.00 ,11.78 
o3_mini_2025_01_31,MediQA,Open,150,5724,600000,"605,724",614400,0.01 ,2.90 ,3.76 ,15.80 ,22.47 
o3_mini_2025_01_31,MedicationQA,Open,689,15649,2756000,"2,771,649",2822144,0.02 ,13.34 ,17.21 ,72.56 ,103.13 
o3_mini_2025_01_31,MentalHealth,Open,67,45923,268000,"313,923",274432,0.06 ,1.30 ,1.95 ,7.06 ,10.36 
o3_mini_2025_01_31,N2C2,Closed,258,1440197,1032000,0,0,1.73 ,4.99 ,0.00 ,0.00 ,6.72 
o3_mini_2025_01_31,NoteExtract,Open,487,352513,1948000,"2,300,513",1994752,0.42 ,9.43 ,14.29 ,51.29 ,75.42 
o3_mini_2025_01_31,PatientInstruct,Open,361,946549,1444000,"2,390,549",1478656,1.14 ,6.99 ,14.85 ,38.02 ,60.99 
o3_mini_2025_01_31,PubMedQA,Closed,1000,377515,4000000,0,0,0.45 ,19.36 ,0.00 ,0.00 ,19.81 
o3_mini_2025_01_31,RaceBias,Closed,167,78995,668000,0,0,0.09 ,3.23 ,0.00 ,0.00 ,3.33 
o3_mini_2025_01_31,ADHD-Behavior,Closed,423,120203,1692000,0,0,0.14 ,8.19 ,0.00 ,0.00 ,8.33 
o3_mini_2025_01_31,ADHD-MedEffects,Closed,915,690362,3660000,0,0,0.83 ,17.71 ,0.00 ,0.00 ,18.54 
o3_mini_2025_01_31,BMT-Status,Closed,220,460958,880000,0,0,0.55 ,4.26 ,0.00 ,0.00 ,4.81 
o3_mini_2025_01_31,CDI-QA,Closed,1000,63970858,4000000,0,0,76.77 ,19.36 ,0.00 ,0.00 ,96.13 
o3_mini_2025_01_31,ClinicReferral,Closed,327,13203579,1308000,0,0,15.84 ,6.33 ,0.00 ,0.00 ,22.18 
o3_mini_2025_01_31,ENT-Referral,Closed,1000,15484159,4000000,0,0,18.58 ,19.36 ,0.00 ,0.00 ,37.94 
o3_mini_2025_01_31,HospiceReferral,Closed,1000,23387861,4000000,0,0,28.07 ,19.36 ,0.00 ,0.00 ,47.43 
o3_mini_2025_01_31,MedConfInfo,Closed,1000,2075158,4000000,0,0,2.49 ,19.36 ,0.00 ,0.00 ,21.85 
o3_mini_2025_01_31,PrivacyDetection,Closed,300,77199,1200000,0,0,0.09 ,5.81 ,0.00 ,0.00 ,5.90 
o3_mini_2025_01_31,ProxySender,Closed,300,55136,1200000,0,0,0.07 ,5.81 ,0.00 ,0.00 ,5.87 
